fecha,año,mes,trimestre,ingresos_totales,egresos_totales,cash_flow_real,clientes_activos,proyectos_pendientes,dias_cartera,ratio_cobros,estacionalidad,is_low_demand,num_transacciones
2021-01-01,2021,1,1,165004.0,131838.17,33165.82999999999,66,27,43.1,0.953,0.488,1,578
2021-02-01,2021,2,1,210756.77,155704.41,55052.359999999986,65,17,41.3,1.048,0.6,1,405
2021-03-01,2021,3,1,168702.04,185281.16,-16579.119999999995,49,21,37.7,0.718,0.722,1,573
2021-04-01,2021,4,2,273898.86,249505.59,24393.26999999999,45,17,45.9,0.77,0.9,1,518
2021-05-01,2021,5,2,286619.82,265374.11,21245.71000000002,53,29,44.9,0.788,1.0,1,541
2021-06-01,2021,6,2,270180.89,295987.12,-25806.22999999998,40,13,46.6,1.148,1.05,1,508
2021-07-01,2021,7,3,216674.93,185544.5,31130.429999999993,45,16,41.3,1.211,0.7,1,517
2021-08-01,2021,8,3,139017.81,171416.86,-32399.04999999999,56,16,49.9,1.206,0.6,1,546
2021-09-01,2021,9,3,234044.93,225076.59,8968.339999999997,63,24,41.2,0.963,0.85,1,445
2021-10-01,2021,10,4,258479.24,301813.35,-43334.109999999986,73,19,53.0,1.072,1.0,1,468
2021-11-01,2021,11,4,365283.54,358330.73,6952.809999999998,59,27,30.0,1.164,1.1,1,504
2021-12-01,2021,12,4,240697.52,222422.48,18275.03999999998,40,18,47.9,1.296,0.8,1,475
2022-01-01,2022,1,1,185316.71,173026.93,12289.779999999999,69,21,40.8,1.103,0.65,1,504
2022-02-01,2022,2,1,278693.65,194540.41,84153.24000000002,56,18,33.3,1.059,0.75,0,513
2022-03-01,2022,3,1,275994.03,233984.93,42009.100000000035,45,17,42.3,0.84,0.85,1,492
2022-04-01,2022,4,2,309702.73,312625.31,-2922.5800000000163,61,21,44.4,0.616,0.9,1,499
2022-05-01,2022,5,2,327381.25,366975.6,-39594.34999999998,58,21,44.7,0.766,1.0,1,557
2022-06-01,2022,6,2,379096.94,325644.03,53452.909999999974,50,27,33.8,1.117,1.05,0,609
2022-07-01,2022,7,3,193370.15,184801.08,8569.070000000007,60,17,32.6,1.014,0.7,1,447
2022-08-01,2022,8,3,208499.14,151199.26,57299.880000000005,75,16,42.4,1.163,0.6,1,439
2022-09-01,2022,9,3,285191.92,278527.81,6664.109999999986,43,20,47.1,1.156,0.85,1,439
2022-10-01,2022,10,4,239371.74,276911.53,-37539.79000000004,62,21,47.8,0.864,0.92,1,511
2022-11-01,2022,11,4,335325.97,256379.5,78946.46999999997,78,22,35.5,1.131,0.99,0,452
2022-12-01,2022,12,4,255379.83,227131.99,28247.839999999997,51,24,48.3,1.164,0.704,1,594
2023-01-01,2023,1,1,209046.33,172337.3,36709.03,51,15,44.4,1.068,0.65,1,513
2023-02-01,2023,2,1,281497.1,218966.1,62530.99999999997,74,18,65.0,1.125,0.75,0,458
2023-03-01,2023,3,1,238224.7,262120.35,-23895.649999999994,57,23,48.8,0.985,0.85,1,458
2023-04-01,2023,4,2,232225.99,248292.82,-16066.830000000016,68,21,35.0,1.035,0.9,1,519
2023-05-01,2023,5,2,289632.0,296877.3,-7245.299999999988,60,14,47.9,1.112,1.0,1,554
2023-06-01,2023,6,2,406013.66,255474.58,150539.08,50,22,49.1,1.103,1.05,0,692
2023-07-01,2023,7,3,253745.14,231855.46,21889.680000000022,69,23,42.5,1.152,0.7,1,462
2023-08-01,2023,8,3,193223.36,164713.19,28510.169999999984,60,30,30.1,1.137,0.6,1,420
2023-09-01,2023,9,3,263723.8,280152.77,-16428.97000000003,60,14,39.3,1.136,0.85,1,464
2023-10-01,2023,10,4,344741.33,293094.1,51647.23000000004,53,30,50.1,0.595,1.0,0,509
2023-11-01,2023,11,4,330829.87,353449.93,-22620.059999999998,52,19,49.0,1.173,1.1,1,440
2023-12-01,2023,12,4,253717.2,219909.13,33808.07000000001,53,28,48.2,0.748,0.8,1,545
